ID;WOLF/DOG/F1/F2;SPECIES;COUNTRY;LATITUDE;LONGITUDE;BAM NAME
0;DOG_1;Canis lupus familiaris;Italy;X;X;genomes/MW1085_CIR1.CanFam31.realigned.bam
1;DOG_2;Canis lupus familiaris;Italy;X;X;genomes/MW1086_CIR2.CanFam31.realigned.bam
2;DOG_3;Canis lupus familiaris;Italy;X;X;genomes/MW1087_CIR3.CanFam31.realigned.bam
3;DOG_4;Canis lupus familiaris;Italy;X;X;genomes/MW1090_CIR6.CanFam31.realigned.bam
4;DOG_5;Canis lupus familiaris;Italy;X;X;genomes/MW1093_CIR9.CanFam31.realigned.bam
5;DOG_6;Canis lupus familiaris;Italy;X;X;genomes/MW1094_CIR10.CanFam31.realigned.bam
6;DOG_7;Canis lupus familiaris;Italy;X;X;genomes/MW1095_CIR11.CanFam31.realigned.bam
7;DOG_8;Canis lupus familiaris;Italy;X;X;genomes/MW1098_CIR14.CanFam31.realigned.bam
8;HYBRID_F1_1;hybrid wolf-dog F1;Poland;49,2735;22,2862;genomes/MW254_R?EXT.CanFam31.realigned.bam
9;HYBRID_F1_2;hybrid wolf-dog F1;Germany;51,010989;10,845346;new_genomes/MW099.CanFam31.realigned.bam
10;HYBRID_F1_3;hybrid wolf-dog F1;Germany;51,010989;10,845346;new_genomes/MW101.CanFam31.realigned.bam
11;HYBRID_F1_4;hybrid wolf-dog F1;Germany;51,010989;10,845346;new_genomes/MW103.CanFam31.realigned.bam
12;HYBRID_F1_5;hybrid wolf-dog F1;Poland;52,97441;17,84463;new_genomes/MW264.CanFam31.realigned.bam
13;HYBRID_F1_6;hybrid wolf-dog F1;Poland;51,46676;17,73676;new_genomes/MW265.CanFam31.realigned.bam
14;HYBRID_F1_7;hybrid wolf-dog F1;Poland;51,16276;19,45486;new_genomes/MW267.CanFam31.realigned.bam
15;HYBRID_F1_8;hybrid wolf-dog F1;Poland;49,57039;22,23559;new_genomes/MW269.CanFam31.realigned.bam
16;HYBRID_F2_1;hybrid wolf-dog F2 backross with dog;Poland;51,1624;19,46609;new_genomes/MW268.CanFam31.realigned.bam
17;HYBRID_F2_2;hybrid wolf-dog F2 backcross with wolf;Poland;51,44733;17,76009;new_genomes/MW266.CanFam31.realigned.bam
18;WOLF_CZ_1;Canis lupus;Czech Republic;50,797808;14,417685;genomes/MW045.CanFam31.realigned.bam
19;WOLF_CZ_2;Canis lupus;Czech Republic;50,653;15,6133;genomes/MW333.CanFam31.realigned.bam
20;WOLF_CZ_3;Canis lupus;Czech Republic;50,3376;14,8746;genomes/MW334_R-EXT.CanFam31.realigned.bam
21;WOLF_DE_1;Canis lupus;Germany;50,118346;7,308953;new_genomes/MW053.CanFam31.realigned.bam
22;WOLF_DE_2;Canis lupus;Germany;50,652051;9,162438;new_genomes/MW055.CanFam31.realigned.bam
